epoch_num,val_loss,val_ages_output_loss,val_gender_output_loss,ages_output_acc,gender_output_acc,val_gender_output_acc,val_ages_output_acc,ages_output_loss,gender_output_loss
0,0.5374646275796234,0.017359432647650015,0.5201051959388087,1.644736842105263e-05,0.710515350877193,0.7704046375921376,0.00015356265356265356,0.021246634601500995,0.5937575913730421
1,0.5289961050524715,0.01656029718054327,0.5124358067791173,1.6451968478028397e-05,0.7667933468259087,0.7739270757198902,0.0001536865562684904,0.018629015631365067,0.5250172781974608
2,0.519837317423407,0.01518513703303771,0.5046521804305893,1.6451968478028397e-05,0.7733083263422273,0.7805355976463055,0.0001536865562684904,0.015774698486855154,0.5158220222349603
3,0.5091805209786773,0.013708456492870696,0.49547206467280824,1.6451968478028397e-05,0.7793352307950053,0.7870864871003797,0.0001536865562684904,0.014072335812383076,0.5083209281749614
4,0.5138748499417078,0.013096907346726206,0.5007779428149752,2.193595797070453e-05,0.782674980396045,0.7807277058530917,0.00013447573673492911,0.012896023254567464,0.5026715448002976
5,0.5081782451283576,0.012462593655561372,0.49571565113285826,2.193595797070453e-05,0.7856473027010755,0.7842240750081999,0.00013447573673492911,0.012031656233353826,0.4974986525615319
6,0.5203133667431852,0.012810725528657672,0.507502640339563,2.193595797070453e-05,0.787297983538371,0.7755599953802429,0.00013447573673492911,0.011330023970573443,0.4934963298809903
7,0.5083473208701564,0.012666292183847466,0.49568102817862064,2.193595797070453e-05,0.7892996397031978,0.7847619779436891,0.00013447573673492911,0.010624741056621898,0.4889909865591418
8,0.5036326121121935,0.012808932898913293,0.49082367942203786,2.741994746338066e-05,0.7906651530868741,0.7871056979267835,0.00013447573673492911,0.009905956136440226,0.48606430824890423
9,0.5085743916553637,0.013871968836943433,0.4947024232250576,2.741994746338066e-05,0.7921238942915991,0.7819956199308562,0.00013447573673492911,0.009151833269436617,0.4829545610402716
10,0.5059924868777129,0.014365485335788634,0.4916270018750635,2.741994746338066e-05,0.7920032465230872,0.7872978061152488,0.00013447573673492911,0.008374059362601933,0.4809144703590568
